ticker,early_stop,lr_reduce,batchNorm,l2,train_rmse,train_mae,test_rmse,test_mae
AMZN,False,True,True,False,22.706261732300753,20.06793923551237,29.318522068276085,29.236518989214574
AMZN,False,True,True,True,19.526205824529807,17.00078903756476,24.25373759707464,24.138059684261027
AMZN,True,False,False,False,14.963613315730464,11.853806949020631,5.386753317942488,4.909112157219131
AMZN,True,False,False,True,13.692951057441187,10.597948796621168,5.858150562602902,5.406299302574439
AMZN,True,False,True,False,26.38810744662927,22.499563803947556,38.34902679295063,38.29345733675924
AMZN,True,False,True,True,22.502969326519295,20.07575929081298,28.11217985904719,28.029924864306775
AMZN,True,True,False,False,20.445337949117146,17.199264907591015,29.314576617161517,29.215162126162795
AMZN,True,True,False,True,11.250066287192562,8.79787496995738,2.7598129139917575,2.2604066628284727
AMZN,True,True,True,False,24.57924870375665,21.923233733334072,30.16929789479691,30.080150550154865
AMZN,True,True,True,True,24.59851804009451,21.75879513836859,31.6002678386484,31.520912852665333
